"Identifier"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Synonym"	"GSD_type"	"Sex_chromosome_karyotype"	"Size_difference"	"Larger_chromosome"	"Size_note"	"GSD_note"	"GSD_reference"	"TSD_type"	"TSD_type_detailed"	"Low_temperature_sex"	"Low_temperature_threshold"	"Intermediate_temperature_sex"	"High_temperature_sex"	"High_temperature_threshold"	"Thermal_sex_reversal_proven"	"TSD_note"	"TSD_reference"	"Sex_reversal_in_nature"	"Sex_reversal_reference"	"Polyploid"	"Polyploid_reference"	"Other_note"	"GSD_info_curated_by"	"TSD_info_curated_by"	"Taxonomy_reference"
"hsdA1.348"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis scriptus"	"Anolis scriptus leucophaeus"	"complex XX/XY"	"identified"				"X1X2Y"	"[105]"																"Tree of Sex database"		"[383]"
"hsdA1.349"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis stratulus"		"complex XX/XY"	"identified"				"X1X2Y"	"[109]"																"Tree of Sex database"		"[383]"
"hsdA1.350"	"Reptilia"	"Squamata"	"Dactyloidae"	"Anolis"	"Anolis wattsii"		"complex XX/XY"	"identified"				"X1X2Y"	"[109]"																"Tree of Sex database"		"[383]"
"hsdA1.351"	"Reptilia"	"Squamata"	"Dibamidae"	"Dibamus"	"Dibamus deharvengi"		"XX/XY"						"[302]"																"VB, EN"		"[383]"
"hsdA1.352"	"Reptilia"	"Squamata"	"Dibamidae"	"Dibamus"	"Dibamus novaeguineae"		"XX/XY"	"identified"					"[45]"																"Tree of Sex database"		"[383]"
"hsdA1.353"	"Reptilia"	"Squamata"	"Diplodactylidae"	"Correlophus"	"Correlophus ciliatus"	"Rhacodactylus ciliatus"	"ZW/ZZ"						"[89]"	"TSD uncertain"	"TSD uncertain"							"""Although no sample sizes or hatchling sex ratios are given, Seipp & Henkel’s (2000) data are suggestive of a FMF pattern"" (Seipp & Henkel is a book: ""Rhacodactylus: Biology, Natural History and Husbandry"")"	"[134]"						"VB, EN"	"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.354"	"Reptilia"	"Squamata"	"Diplodactylidae"	"Correlophus"	"Correlophus sarasinorum"	"Rhacodactylus sarasinorum"								"FMF ?"	"F?-M?-F?"	"female?"		"male?"	"female?"			"FMF pattern suggested, but data of original report (breeding book) not accessible"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.355"	"Reptilia"	"Squamata"	"Diplodactylidae"	"Mniarogekko"	"Mniarogekko chahoua"	"Rhacodactylus chahoua"								"FMF ?"	"F?-M?-F?"	"female?"		"male?"	"female?"			"FMF pattern suggested, but data of original report (breeding book) not accessible"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.356"	"Reptilia"	"Squamata"	"Diplodactylidae"	"Rhacodactylus"	"Rhacodactylus auriculatus"									"TSD uncertain"	"TSD uncertain"							"no sample sizes or hatchling sex ratios are given in the cited source"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.357"	"Reptilia"	"Squamata"	"Diplodactylidae"	"Rhacodactylus"	"Rhacodactylus leachianus"									"TSD uncertain"	"TSD uncertain"							"no sample sizes or hatchling sex ratios are given in the cited source"	"[134]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.358"	"Reptilia"	"Squamata"	"Elapidae"	"Acanthophis"	"Acanthophis antarcticus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.359"	"Reptilia"	"Squamata"	"Elapidae"	"Acanthophis"	"Acanthophis praelongus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.360"	"Reptilia"	"Squamata"	"Elapidae"	"Acanthophis"	"Acanthophis pyrrhus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.361"	"Reptilia"	"Squamata"	"Elapidae"	"Aipysurus"	"Aipysurus fuscus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.362"	"Reptilia"	"Squamata"	"Elapidae"	"Aipysurus"	"Aipysurus laevis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.363"	"Reptilia"	"Squamata"	"Elapidae"	"Antaioserpens"	"Antaioserpens warro"	"Simoselaps warro"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.364"	"Reptilia"	"Squamata"	"Elapidae"	"Austrelaps"	"Austrelaps superbus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.365"	"Reptilia"	"Squamata"	"Elapidae"	"Bungarus"	"Bungarus caeruleus"		"complex ZW/ZZ"	"identified"				"Z1Z2W; some females have two W chromosomes (the original W undergone fission)"	"[353], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.366"	"Reptilia"	"Squamata"	"Elapidae"	"Bungarus"	"Bungarus fasciatus"		"ZW/ZZ"	"identified"					"[355], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.367"	"Reptilia"	"Squamata"	"Elapidae"	"Bungarus"	"Bungarus sindanus"		"ZW/ZZ"	"identified"	"yes"	"W"			"[357], [359]"															"Published under the name Bungarus walliwall, probably a typo of Bungarus walli WALL 1907. Bungarus walli is currently considered a separate species from B. sindanus, but used to be considered a subspecies (B. s. walli). We kept this record under the name Bungarus sindanus, as it was in the Tree Of Sex database. However, species identity is not certain."	"EN, Tree of Sex database"		"[383]"
"hsdA1.368"	"Reptilia"	"Squamata"	"Elapidae"	"Cacophis"	"Cacophis squamulosus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.369"	"Reptilia"	"Squamata"	"Elapidae"	"Cryptophis"	"Cryptophis boschmai"	"Rhinoplocephalus boschmai"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.370"	"Reptilia"	"Squamata"	"Elapidae"	"Cryptophis"	"Cryptophis nigrescens"	"Rhinoplocephalus nigrescens"	"complex ZW/ZZ"	"identified"				"ZW1W2"	"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.371"	"Reptilia"	"Squamata"	"Elapidae"	"Cryptophis"	"Cryptophis nigrostriatus"	"Rhinoplocephalus nigrostriatus"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.372"	"Reptilia"	"Squamata"	"Elapidae"	"Demansia"	"Demansia olivacea"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.373"	"Reptilia"	"Squamata"	"Elapidae"	"Demansia"	"Demansia papuensis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.374"	"Reptilia"	"Squamata"	"Elapidae"	"Demansia"	"Demansia psammophis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.375"	"Reptilia"	"Squamata"	"Elapidae"	"Demansia"	"Demansia torquata"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.376"	"Reptilia"	"Squamata"	"Elapidae"	"Demansia"	"Demansia vestigiata"	"Demansia atra"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.377"	"Reptilia"	"Squamata"	"Elapidae"	"Dendroaspis"	"Dendroaspis polylepis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.378"	"Reptilia"	"Squamata"	"Elapidae"	"Denisonia"	"Denisonia devisi"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.379"	"Reptilia"	"Squamata"	"Elapidae"	"Denisonia"	"Denisonia maculata"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.380"	"Reptilia"	"Squamata"	"Elapidae"	"Drysdalia"	"Drysdalia coronoides"	"Denisonia coronoides"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.381"	"Reptilia"	"Squamata"	"Elapidae"	"Drysdalia"	"Drysdalia mastersii"	"Denisonia mastersii"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.382"	"Reptilia"	"Squamata"	"Elapidae"	"Drysdalia"	"Drysdalia rhodogaster"	"Denisonia rhodogaster"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.383"	"Reptilia"	"Squamata"	"Elapidae"	"Echiopsis"	"Echiopsis curta"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.384"	"Reptilia"	"Squamata"	"Elapidae"	"Elapognathus"	"Elapognathus minor"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.385"	"Reptilia"	"Squamata"	"Elapidae"	"Emydocephalus"	"Emydocephalus annulatus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.386"	"Reptilia"	"Squamata"	"Elapidae"	"Furina"	"Furina diadema"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.387"	"Reptilia"	"Squamata"	"Elapidae"	"Hemiaspis"	"Hemiaspis signata"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.388"	"Reptilia"	"Squamata"	"Elapidae"	"Hoplocephalus"	"Hoplocephalus bitorquatus"		"complex ZW/ZZ"	"identified"				"Z1Z2W"	"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.389"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis cantoris"	"Microcephalophis cantoris"	"ZW/ZZ"	"identified"				"35 chromosomes in female"	"[354]"																"Tree of Sex database"		"[383]"
"hsdA1.390"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis cyanocinctus"		"complex ZW/ZZ"	"identified"				"ZW1W2"	"[358]"																"EN"		"[383]"
"hsdA1.391"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis fasciatus"	"Hydrophis fasciatus fasciatus "	"complex ZW/ZZ"	"identified"				"ZW1W2"	"[291], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.392"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis gracilis"	"Microcephalophis gracilis"	"complex ZW/ZZ"	"identified"				"ZW1W2"	"[354], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.393"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis jerdonii"	"Kerilia jerdonii"	"ZW/ZZ"	"identified"					"[355]"																"Tree of Sex database"		"[383]"
"hsdA1.394"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis major"	"Disteira major"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.395"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis platurus"	"Pelamis platura"	"ZW/ZZ"	"identified"				"heteromorph sex chromosomes"	"[123]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.396"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis schistosus"	"Enhydrina schistosa"	"complex ZW/ZZ"	"identified"				"ZW1W2"	"[290], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.397"	"Reptilia"	"Squamata"	"Elapidae"	"Hydrophis"	"Hydrophis spiralis"		"ZW/ZZ"	"identified"	"yes"	"Z"			"[290], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.398"	"Reptilia"	"Squamata"	"Elapidae"	"Laticauda"	"Laticauda colubrina"		"ZW/ZZ"	"identified"					"[110]"																"Tree of Sex database"		"[383]"
"hsdA1.399"	"Reptilia"	"Squamata"	"Elapidae"	"Laticauda"	"Laticauda laticaudata"		"ZW/ZZ"	"identified"					"[110]"																"Tree of Sex database"		"[383]"
"hsdA1.400"	"Reptilia"	"Squamata"	"Elapidae"	"Laticauda"	"Laticauda semifasciata"		"ZW/ZZ"	"identified"					"[110]"																"Tree of Sex database"		"[383]"
"hsdA1.401"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus browni"		"ZW/ZZ"	"identified"					"[124]"																"Tree of Sex database"		"[383]"
"hsdA1.402"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus carvalhoi"	"Micrurus lemniscatus carvalhoi"	"ZW/ZZ"	"identified"					"[17]"																"Tree of Sex database"		"[383]"
"hsdA1.403"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus diastema"		"ZW/ZZ"	"identified"					"[124]"																"Tree of Sex database"		"[383]"
"hsdA1.404"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus elegans"		"ZW/ZZ"	"identified"					"[124]"																"Tree of Sex database"		"[383]"
"hsdA1.405"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus fulvius"		"ZW/ZZ"	"identified"					"[114]"																"Tree of Sex database"		"[383]"
"hsdA1.406"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus hippocrepis"		"ZW/ZZ"	"identified"					"[124]"																"Tree of Sex database"		"[383]"
"hsdA1.407"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus mosquitensis"	"Micrurus nigrocinctus mosquitensis"	"ZW/ZZ"	"identified"					"[420]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.408"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus nigrocinctus"	"Micrurus nigrocinctus nigrocinctus"	"ZW/ZZ"	"identified"					"[420]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.409"	"Reptilia"	"Squamata"	"Elapidae"	"Micrurus"	"Micrurus surinamensis"		"ZW/ZZ"	"identified"					"[124]"																"Tree of Sex database"		"[383]"
"hsdA1.410"	"Reptilia"	"Squamata"	"Elapidae"	"Naja"	"Naja kaouthia"	"Naja naja kaouthia"	"ZW/ZZ"	"identified"	"yes"	"Z"	"In one out of five females, the sex chromosomes in c.a. 60 percent of the cells were of equal size."		"[353], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.411"	"Reptilia"	"Squamata"	"Elapidae"	"Naja"	"Naja melanoleuca"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.412"	"Reptilia"	"Squamata"	"Elapidae"	"Naja"	"Naja naja"	"Naja naja naja"	"ZW/ZZ"	"identified"	"no"			"Sex chromosomes identified with autoradiography"	"[353], [358]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.413"	"Reptilia"	"Squamata"	"Elapidae"	"Naja"	"Naja nigricollis"		"ZW/ZZ"	"identified"					"[59]"																"Tree of Sex database"		"[383]"
"hsdA1.414"	"Reptilia"	"Squamata"	"Elapidae"	"Naja"	"Naja oxiana"		"ZW/ZZ"	"identified"	"no"			"Z and W differ in morphology"	"[357], [359]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.415"	"Reptilia"	"Squamata"	"Elapidae"	"Notechis"	"Notechis scutatus"	"Notechis ater"	"ZW/ZZ"	"identified"	"yes"	"W"			"[229], [256], [348]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.416"	"Reptilia"	"Squamata"	"Elapidae"	"Oxyuranus"	"Oxyuranus scutellatus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.417"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudechis"	"Pseudechis australis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.418"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudechis"	"Pseudechis butleri"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.419"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudechis"	"Pseudechis guttatus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.420"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudechis"	"Pseudechis porphyriacus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.421"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudonaja"	"Pseudonaja affinis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.422"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudonaja"	"Pseudonaja nuchalis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.423"	"Reptilia"	"Squamata"	"Elapidae"	"Pseudonaja"	"Pseudonaja textilis"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.424"	"Reptilia"	"Squamata"	"Elapidae"	"Simoselaps"	"Simoselaps bertholdi"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.425"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta dwyeri"	"Unechis dwyeri"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.426"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta flagellum"	"Unechis flagellum"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.427"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta gouldii"	"Unechis gouldii"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.428"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta monachus"	"Unechis monachus"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.429"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta nigriceps"	"Unechis nigriceps"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.430"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta punctata"	"Denisonia punctata"	"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.431"	"Reptilia"	"Squamata"	"Elapidae"	"Suta"	"Suta suta"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.432"	"Reptilia"	"Squamata"	"Elapidae"	"Tropidechis"	"Tropidechis carinatus"		"ZW/ZZ"	"identified"					"[229]"																"Tree of Sex database"		"[383]"
"hsdA1.433"	"Reptilia"	"Squamata"	"Eublepharidae"	"Coleonyx"	"Coleonyx brevis"		"XX/XY"	"homomorphic"					"[168], [391]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.434"	"Reptilia"	"Squamata"	"Eublepharidae"	"Coleonyx"	"Coleonyx elegans"		"complex XX/XY"					"X1X1X2X2/X1X2Y"	"[31], [278]"																"VB, Tree of Sex database"		"[383]"
"hsdA1.435"	"Reptilia"	"Squamata"	"Eublepharidae"	"Coleonyx"	"Coleonyx mitratus"		"complex XX/XY"					"X1X1X2X2/X1X2Y"	"[11], [210], [277]"																"EN"		"[383]"
"hsdA1.436"	"Reptilia"	"Squamata"	"Eublepharidae"	"Eublepharis"	"Eublepharis macularius"									"FMF"	"F-M-F"	"female"	"30"	"male"	"female"	"34"		"The reported female excess at high temperatures was close to the lethal maximum temperature. (Viets et al. 1993 https://doi.org/10.1002/jez.1402650610)"	"[392]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.437"	"Reptilia"	"Squamata"	"Eublepharidae"	"Goniurosaurus"	"Goniurosaurus kuroiwae"									"TSD uncertain"	"TSD uncertain"							"data from breeding book not accessible"	"[87]"							"VB"	"[383]"
"hsdA1.438"	"Reptilia"	"Squamata"	"Eublepharidae"	"Goniurosaurus"	"Goniurosaurus orientalis"									"TSD uncertain"	"TSD uncertain"							"data from breeding book not accessible"	"[87]"							"VB"	"[383]"
"hsdA1.439"	"Reptilia"	"Squamata"	"Eublepharidae"	"Goniurosaurus"	"Goniurosaurus splendens"									"TSD uncertain"	"TSD uncertain"							"data from breeding book not accessible"	"[87]"							"VB"	"[383]"
"hsdA1.440"	"Reptilia"	"Squamata"	"Eublepharidae"	"Hemitheconyx"	"Hemitheconyx caudicinctus"									"FMF"	"F-M-F"	"female"	"30"	"male"	"female"	"34"			"[391]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.441"	"Reptilia"	"Squamata"	"Gekkonidae"	"Christinus"	"Christinus marmoratus"	"Phyllodactylus marmoratus"	"ZW/ZZ"	"identified"					"[177], [239]"																"Tree of Sex database"		"[383]"
"hsdA1.442"	"Reptilia"	"Squamata"	"Gekkonidae"	"Cyrtodactylus"	"Cyrtodactylus chaunghanakwaensis"		"XX/XY"						"[167]"																"Tree of Sex database"		"[383]"
"hsdA1.443"	"Reptilia"	"Squamata"	"Gekkonidae"	"Cyrtodactylus"	"Cyrtodactylus pharbaungensis"		"ZW/ZZ"						"[167]"																"VB"		"[383]"
"hsdA1.444"	"Reptilia"	"Squamata"	"Gekkonidae"	"Cyrtodactylus"	"Cyrtodactylus pubisulcus"		"ZW/ZZ"						"[87]"																"VB"		"[383]"
"hsdA1.445"	"Reptilia"	"Squamata"	"Gekkonidae"	"Dixonius"	"Dixonius siamensis"		"ZW/ZZ"	"identified"					"[11], [271]"																"EN"		"[383]"
"hsdA1.446"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gehyra"	"Gehyra australis"		"ZW/ZZ"	"identified"					"[174]"																"Tree of Sex database"		"[383]"
"hsdA1.447"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gehyra"	"Gehyra mutilata"		"ZW/ZZ"						"[89]"																"VB"		"[383]"
"hsdA1.448"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gehyra"	"Gehyra nana"		"ZW/ZZ"						"[87], [239]"																"VB, Tree of Sex database"		"[383]"
"hsdA1.449"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gehyra"	"Gehyra purpurascens"		"complex ZW/ZZ"	"identified"					"[239], [240]"																"EN, Tree of Sex database"		"[383]"
"hsdA1.450"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gekko"	"Gekko gecko"		"XX/XY"	"identified"					"[239]"																"Tree of Sex database"		"[383]"
"hsdA1.451"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gekko"	"Gekko hokouensis"		"ZW/ZZ"	"identified"					"[347]"																"Tree of Sex database"		"[383]"
"hsdA1.452"	"Reptilia"	"Squamata"	"Gekkonidae"	"Gekko"	"Gekko japonicus"		"XX/XY"	"identified"					"[413]"	"FMF"	"F-M-F"	"female"	"25.5"	"male"	"female"	"31.5"		"Based on 3 populations (Fig.1). Temperature thresholds may differ between populations."	"[207], [381]"						"Tree of Sex database"	"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.453"	"Reptilia"	"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus frenatus"		"ZW/ZZ"						"[89]"																"VB"		"[383]"
"hsdA1.454"	"Reptilia"	"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus mabouia"		"XX/XY"						"[89], [225]"																"VB, Tree of Sex database"		"[383]"
"hsdA1.455"	"Reptilia"	"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus turcicus"		"XX/XY"						"[89]"																"VB"		"[383]"
"hsdA1.456"	"Reptilia"	"Squamata"	"Gekkonidae"	"Hemidactylus"	"Hemidactylus vietnamensis"		"ZW/ZZ"	"identified"					"[239]"													"triploid"	"[166]"		"Tree of Sex database"		"[383]"
"hsdA1.457"	"Reptilia"	"Squamata"	"Gekkonidae"	"Heteronotia"	"Heteronotia binoei"		"ZW/ZZ"	"identified"					"[239]"																"Tree of Sex database"		"[383]"
"hsdA1.458"	"Reptilia"	"Squamata"	"Gekkonidae"	"Lepidodactylus"	"Lepidodactylus lugubris"		"ZW/ZZ"	"identified"					"[394]"																"Tree of Sex database"		"[383]"
"hsdA1.459"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura gracilis"		"complex ZW/ZZ"	"identified"				"suspected system: Z1Z1Z2Z2 / Z1Z2W1W2"	"[185], [301]"																"EN"		"[383]"
"hsdA1.460"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura hordiesi"		"ZW/ZZ"						"[301]"																"EN"		"[383]"
"hsdA1.461"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura karstophila"		"ZW/ZZ"	"identified"					"[185]"																"EN"		"[383]"
"hsdA1.462"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura lohatsara"		"ZW/ZZ"	"identified"				"Z and W differ greatly in sequences"	"[185], [301]"																"EN"		"[383]"
"hsdA1.463"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura masobe"		"ZW/ZZ"	"identified"					"[185], [301]"																"EN"		"[383]"
"hsdA1.464"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura oviceps"		"ZW/ZZ"	"identified"					"[185], [301]"																"EN"		"[383]"
"hsdA1.465"	"Reptilia"	"Squamata"	"Gekkonidae"	"Paroedura"	"Paroedura stumpffi"		"ZW/ZZ"	"identified"					"[185], [301]"																"EN"		"[383]"
"hsdA1.466"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma abbotti"									"TSD uncertain"	"TSD uncertain"							"the only info given is 14% male at 28 degrees Celsius (N=7)"	"[391]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.467"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma dubia"									"TSD uncertain"	"TSD uncertain"							"the only info given is 0% male at 28 degrees Celsius (N=9)"	"[391]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.468"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma grandis"	"Phelsuma madagascariensis grandis"								"FMF ?"	"F-E?-F?"	"female"	"26"	"even?"	"female?"	"32?"		"""FMF"" pattern but all sex ratios are female-biased, small sample sizes at extreme temperatures"	"[391]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.469"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma guentheri"									"TSD uncertain"	"TSD uncertain"							"the only info given is female-biased sex ratio at a single temperature"	"[391]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.470"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma guimbeaui"									"TSD uncertain"	"TSD uncertain"							"only males were produced at different temperatures"	"[391]"							"VB, Tree of Sex database"	"[383]"
"hsdA1.471"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma laticauda"									"TSD uncertain"	"TSD uncertain"							"The only info available is that only females were produced at 26-30 degrees Celsius"	"[391]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.472"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma lineata"	"Phelsuma lineata prusila"								"TSD uncertain"	"TSD uncertain"							"the only info available is 0% male at 28 degrees Celsius (N = 30)"	"[391]"							"EN, VB, Tree of Sex database"	"[383]"
"hsdA1.473"	"Reptilia"	"Squamata"	"Gekkonidae"	"Phelsuma"	"Phelsuma madagascariensis"	"Phelsuma madagascariensis kochi"								"TSD uncertain"	"TSD uncertain"							"the only info given is 39% male at 28 degrees Celsius  (N = 18)."	"[391]"							"EN, VB, Tree of Sex database"	"[383]"
